model,p,q,loglik,AIC,BIC,HQIC,num_params,converged,LB_resid_p_lag10,LB_resid_p_lag20,LB_resid_p_lag10_adj_df,LB_resid_p_lag20_adj_df,diagnostic_pass,ARCH_LM_p_lag10,message,error,AIC_rank,BIC_rank,HQIC_rank
"ARMA(3,2)",3,2,580.3074866182069,-1146.6149732364138,-1102.5461336228334,-1130.9949065702456,7,True,0.32531825620347793,0.13594132959186314,0.04356110760781665,0.0289327235440606,True,3.9214289426915256e-05,OK,,1.0,1.0,1.0
"ARMA(2,3)",2,3,579.3196674724987,-1144.6393349449975,-1100.570495331417,-1129.0192682788293,7,True,0.266460911015625,0.10119864421051791,0.03108951918236762,0.0194342739413516,True,3.755337422996506e-05,OK,,8.0,2.0,2.0
"ARMA(2,4)",2,4,580.6918032555392,-1145.3836065110784,-1095.0192183812724,-1127.532101749743,8,True,0.36621249224060737,0.15921715408174184,0.027837465059356515,0.024391490378480662,True,5.086611316512375e-05,OK,,4.0,3.0,3.0
"ARMA(2,5)",2,5,581.4713440890553,-1144.9426881781105,-1088.2827515320787,-1124.8597453216084,9,True,0.43905729621075285,0.1778605344423669,0.01842740271607315,0.018965291325905347,True,3.812612726011019e-05,OK,,5.0,4.0,4.0
"ARMA(5,2)",5,2,581.470579051521,-1144.941158103042,-1088.2812214570101,-1124.8582152465399,9,True,0.3492472613110625,0.1540728881058583,0.011161438948714995,0.015177450974396786,True,3.6741683056650696e-05,OK,,6.0,5.0,5.0
"ARMA(4,3)",4,3,580.1003258982523,-1142.2006517965046,-1085.5407151504728,-1122.1177089400026,9,True,0.172081650107512,0.07993515533762463,0.0028780657793164473,0.005716837604756365,True,4.209720160627384e-05,OK,,10.0,6.0,8.0
"ARMA(3,4)",3,4,579.3501010306726,-1140.7002020613452,-1084.0402654153133,-1120.617259204843,9,True,0.38617710028367547,0.14718750756241766,0.013835433749129721,0.014149344579952783,True,5.323080653142782e-05,OK,,13.0,7.0,9.0
"ARMA(3,5)",3,5,583.0142770916336,-1146.0285541832673,-1083.0730690210096,-1123.7141732315984,10,True,0.8298483415508087,0.35349080327316357,0.05437407134414617,0.04025972383653721,True,3.898619119442535e-05,OK,,2.0,8.0,6.0
"ARMA(4,4)",4,4,583.0112029487609,-1146.0224058975218,-1083.0669207352641,-1123.708024945853,10,True,0.8324976868397217,0.36114563274272476,0.05526849489482946,0.041931784394923635,True,3.89740341603986e-05,OK,,3.0,9.0,7.0
"ARMA(5,3)",5,3,580.6876810458741,-1141.3753620917482,-1078.4198769294906,-1119.0609811400793,10,True,0.6430141110465142,0.30305566853322996,0.019694478454356717,0.03025460540270646,True,4.8853938017569124e-05,OK,,12.0,11.0,12.0
"ARMA(5,4)",5,4,583.3971754471693,-1144.7943508943385,-1075.543317215855,-1120.2485318475026,11,True,0.8913438966786729,0.3473054719072656,0.025383725269143346,0.02535585347709778,True,4.3179552314509335e-05,OK,,7.0,12.0,10.0
"ARMA(4,5)",4,5,582.9478747179697,-1143.8957494359395,-1074.6447157574562,-1119.3499303891035,11,True,0.8248365320135659,0.34072174928283105,0.015271012857272892,0.024403395616939452,True,3.714974746583654e-05,OK,,9.0,14.0,11.0
"ARMA(5,5)",5,5,583.0810046837285,-1142.162009367457,-1066.6154271727478,-1115.3847522254541,12,True,0.842724214794256,0.34692433007390094,,0.015714884818000097,True,4.06878191303693e-05,OK,,11.0,22.0,13.0
"ARMA(2,2)",2,2,566.1757466206155,-1120.351493241231,-1082.5782021438765,-1106.9628646702297,6,True,0.003550775961751679,0.001605667420963613,0.00020926687561987118,0.00021231027666490957,False,3.9919745631132665e-05,OK,,14.0,10.0,14.0
"ARMA(3,0)",3,0,558.3054502001145,-1106.610900400229,-1075.1331578191002,-1095.4537099243944,5,True,4.901996312871152e-05,1.1907598495137808e-06,4.008180727513029e-06,1.5697507615444804e-07,False,3.3922796844577545e-06,OK,,27.0,13.0,19.0
"ARMA(3,1)",3,1,561.9486861184105,-1111.897372236821,-1074.1240811394664,-1098.5087436658196,6,True,0.001995978236622059,8.068133045032111e-05,0.00010575684816291903,7.484572700179352e-06,False,9.49472891513124e-06,OK,,17.0,15.0,16.0
"ARMA(2,1)",2,1,557.4618323290802,-1104.9236646581603,-1073.4459220770316,-1093.7664741823257,5,True,2.4325037956113138e-05,1.3098879492558382e-06,1.8654636094793317e-06,1.7367194706675248e-07,False,8.047323624259719e-06,OK,,28.0,16.0,22.0
"ARMA(4,0)",4,0,560.705502579325,-1109.41100515865,-1071.6377140612954,-1096.0223765876485,6,True,0.0006212478980976099,2.0009007673196257e-05,2.7082097174905976e-05,1.616244804073995e-06,False,1.0093612556082751e-05,OK,,20.0,17.0,18.0
"ARMA(0,3)",0,3,556.3944296539019,-1102.7888593078037,-1071.311116726675,-1091.6316688319691,5,True,5.249637204078971e-06,1.1849704720834733e-07,3.536467653466604e-07,1.3709831189663759e-08,False,2.2342170312696036e-06,OK,,29.0,18.0,26.0
"ARMA(1,3)",1,3,560.1993794010298,-1108.3987588020595,-1070.625467704705,-1095.0101302310582,6,True,0.0003637666505510728,1.4605140582430701e-05,1.4611766404820937e-05,1.1454818693093558e-06,False,6.275464682562874e-06,OK,,22.0,19.0,20.0
"ARMA(5,0)",5,0,563.797460062364,-1113.594920124728,-1069.5260805111477,-1097.97485345856,7,True,0.00747616693106154,0.0003054593506442013,0.0002126279322733594,1.7390333223722573e-05,False,1.8319396066546305e-05,OK,,16.0,20.0,17.0
"ARMA(0,4)",0,4,559.4210789297107,-1106.8421578594214,-1069.0688667620668,-1093.45352928842,6,True,0.00016268446470429012,5.034176205784529e-06,5.821811724782921e-06,3.5887629810232996e-07,False,7.135706353495229e-06,OK,,26.0,21.0,24.0
"ARMA(4,1)",4,1,562.137483514279,-1110.274967028558,-1066.2061274149776,-1094.6549003623898,7,True,0.0023413402058973204,9.763360856929452e-05,5.0044598112996783e-05,4.7453627493460305e-06,False,1.4999433923714236e-05,OK,,19.0,23.0,21.0
"ARMA(3,3)",3,3,566.2587674336582,-1116.5175348673165,-1066.1531467375105,-1098.6660301059812,8,True,0.006271711562611078,0.00176414801856128,6.201558227190651e-05,7.169270140137508e-05,False,2.8822384270616127e-05,OK,,15.0,24.0,15.0
"ARMA(0,5)",0,5,561.5014706258426,-1109.0029412516851,-1064.9341016381047,-1093.382874585517,7,True,0.0012239113479860578,4.544125640156414e-05,2.2689496977327187e-05,2.001488695965835e-06,False,1.1644426942112534e-05,OK,,21.0,25.0,25.0
"ARMA(0,1)",0,1,544.7680181348428,-1083.5360362696856,-1064.6493907210083,-1076.841721984185,3,True,1.4918408530334822e-10,7.08423683320286e-12,5.2230548814749015e-11,3.075672150397181e-12,False,3.152871843800566e-06,OK,,32.0,26.0,32.0
"ARMA(1,2)",1,2,552.8760413060068,-1095.7520826120135,-1064.2743400308848,-1084.594892136179,5,True,1.5338300610363508e-07,1.1204277442917189e-08,8.00050406234256e-09,1.1500988981291055e-09,False,4.854233207796124e-06,OK,,30.0,27.0,30.0
"ARMA(1,4)",1,4,560.4705100753786,-1106.9410201507571,-1062.8721805371767,-1091.320953484589,7,True,0.0004985392865727397,2.0026645323413394e-05,7.711811416613597e-06,7.983624152049034e-07,False,1.0027012355492874e-05,OK,,25.0,28.0,27.0
"ARMA(5,1)",5,1,563.7974895647933,-1111.5949791295866,-1061.2305909997806,-1093.7434743682513,8,True,0.007475527422220088,0.0003051166944163829,7.814566086963718e-05,8.88960074570226e-06,False,1.82991693537436e-05,OK,,18.0,29.0,23.0
"ARMA(1,0)",1,0,543.0333662693265,-1080.066732538653,-1061.1800869899757,-1073.3724182531523,3,True,4.0778641048723967e-11,2.0788659625430345e-12,1.3986438862573888e-11,8.891650916730733e-13,False,2.6682964340793635e-06,OK,,35.0,30.0,33.0
"ARMA(2,0)",2,0,547.0461492690317,-1086.0922985380635,-1060.9101044731603,-1077.166546157396,4,True,4.4625631168420267e-10,1.7521051399254327e-11,5.330663194659851e-11,3.286711874140489e-12,False,3.013541412525505e-06,OK,,31.0,31.0,31.0
"ARMA(4,2)",4,2,561.9613745143894,-1107.9227490287788,-1057.5583608989728,-1090.0712442674435,8,True,0.0020337126550117753,7.939976142503358e-05,1.4507049339061611e-05,1.8518401540979432e-06,False,1.2789876710429186e-05,OK,,23.0,32.0,28.0
"ARMA(0,2)",0,2,545.0189034500497,-1082.0378069000994,-1056.8556128351963,-1073.112054519432,4,True,9.898630433181657e-11,4.365589206733579e-12,1.125303384230352e-11,7.909645058002536e-13,False,2.9513651712140734e-06,OK,,33.0,33.0,34.0
"ARMA(1,5)",1,5,561.50621851432,-1107.01243702864,-1056.648048898834,-1089.1609322673048,8,True,0.0012138698668023808,4.381852274613097e-05,7.565007476736672e-06,9.329608806482308e-07,False,1.1393665430506195e-05,OK,,24.0,34.0,29.0
"ARMA(1,1)",1,1,544.8784650354812,-1081.7569300709624,-1056.5747360060593,-1072.831177690295,4,True,1.237313345673334e-10,5.699565068743007e-12,1.4167251835522318e-11,1.0394456137907047e-12,False,3.07007760535936e-06,OK,,34.0,35.0,35.0
