model,target,shock,horizon_weeks,structural_irf
SVAR_shocks_to_fx_return,fx_return,vix_change,0,0.08593152145301033
SVAR_shocks_to_fx_return,fx_return,vix_change,1,0.04377853957525074
SVAR_shocks_to_fx_return,fx_return,vix_change,2,0.056803249436277875
SVAR_shocks_to_fx_return,fx_return,vix_change,3,0.03904189385771549
SVAR_shocks_to_fx_return,fx_return,vix_change,4,0.04809649748974046
SVAR_shocks_to_fx_return,fx_return,vix_change,5,-0.015467234861452676
SVAR_shocks_to_fx_return,fx_return,vix_change,6,-0.03155264660136278
SVAR_shocks_to_fx_return,fx_return,vix_change,7,-0.012715202726439242
SVAR_shocks_to_fx_return,fx_return,vix_change,8,-0.00023152916136587537
SVAR_shocks_to_fx_return,fx_return,vix_change,9,-0.005460625547156719
SVAR_shocks_to_fx_return,fx_return,vix_change,10,-0.00555829410762244
SVAR_shocks_to_fx_return,fx_return,vix_change,11,-0.0004536414731196017
SVAR_shocks_to_fx_return,fx_return,vix_change,12,-0.00021340802273030614
SVAR_shocks_to_fx_return,fx_return,us10y_change,0,0.06110531360440343
SVAR_shocks_to_fx_return,fx_return,us10y_change,1,0.15454867723822194
SVAR_shocks_to_fx_return,fx_return,us10y_change,2,0.08780069288616854
SVAR_shocks_to_fx_return,fx_return,us10y_change,3,0.017967825192881988
SVAR_shocks_to_fx_return,fx_return,us10y_change,4,0.08390584951773382
SVAR_shocks_to_fx_return,fx_return,us10y_change,5,0.021186567311306304
SVAR_shocks_to_fx_return,fx_return,us10y_change,6,0.011287968829699426
SVAR_shocks_to_fx_return,fx_return,us10y_change,7,-0.008552710525712085
SVAR_shocks_to_fx_return,fx_return,us10y_change,8,0.013391415950046445
SVAR_shocks_to_fx_return,fx_return,us10y_change,9,-8.654774514081252e-05
SVAR_shocks_to_fx_return,fx_return,us10y_change,10,-0.001466288723669092
SVAR_shocks_to_fx_return,fx_return,us10y_change,11,-0.0015873128733630947
SVAR_shocks_to_fx_return,fx_return,us10y_change,12,0.00169774077213467
SVAR_shocks_to_fx_return,fx_return,dxy_return,0,0.012252456595918415
SVAR_shocks_to_fx_return,fx_return,dxy_return,1,0.08013987385612872
SVAR_shocks_to_fx_return,fx_return,dxy_return,2,-0.03883698054007339
SVAR_shocks_to_fx_return,fx_return,dxy_return,3,0.018557671238858438
SVAR_shocks_to_fx_return,fx_return,dxy_return,4,-0.0016574013735066657
SVAR_shocks_to_fx_return,fx_return,dxy_return,5,0.025001260298622114
SVAR_shocks_to_fx_return,fx_return,dxy_return,6,-0.011775766979716504
SVAR_shocks_to_fx_return,fx_return,dxy_return,7,-0.016212378174633158
SVAR_shocks_to_fx_return,fx_return,dxy_return,8,0.003280174232115782
SVAR_shocks_to_fx_return,fx_return,dxy_return,9,0.0021800317798640998
SVAR_shocks_to_fx_return,fx_return,dxy_return,10,-0.000900683269468958
SVAR_shocks_to_fx_return,fx_return,dxy_return,11,-0.0023357138497862584
SVAR_shocks_to_fx_return,fx_return,dxy_return,12,0.0013010415283431465
SVAR_shocks_to_fx_return,fx_return,oil_return,0,-0.006927846880226071
SVAR_shocks_to_fx_return,fx_return,oil_return,1,-0.06935852297838584
SVAR_shocks_to_fx_return,fx_return,oil_return,2,0.018973928789372586
SVAR_shocks_to_fx_return,fx_return,oil_return,3,0.03965610384952631
SVAR_shocks_to_fx_return,fx_return,oil_return,4,-0.004952587872668404
SVAR_shocks_to_fx_return,fx_return,oil_return,5,0.015497011806069674
SVAR_shocks_to_fx_return,fx_return,oil_return,6,0.018909395553780222
SVAR_shocks_to_fx_return,fx_return,oil_return,7,0.005978616420151667
SVAR_shocks_to_fx_return,fx_return,oil_return,8,0.002274119381872669
SVAR_shocks_to_fx_return,fx_return,oil_return,9,0.004508587521568366
SVAR_shocks_to_fx_return,fx_return,oil_return,10,0.0011209637090381617
SVAR_shocks_to_fx_return,fx_return,oil_return,11,-0.0002793137352391315
SVAR_shocks_to_fx_return,fx_return,oil_return,12,0.000466616741314341
SVAR_shocks_to_fx_return,fx_return,vnindex_return,0,-0.12853037432321593
SVAR_shocks_to_fx_return,fx_return,vnindex_return,1,-0.030426501042792767
SVAR_shocks_to_fx_return,fx_return,vnindex_return,2,-0.015991799733548633
SVAR_shocks_to_fx_return,fx_return,vnindex_return,3,-0.03458634263719556
SVAR_shocks_to_fx_return,fx_return,vnindex_return,4,0.060611001684151
SVAR_shocks_to_fx_return,fx_return,vnindex_return,5,0.02541797005794163
SVAR_shocks_to_fx_return,fx_return,vnindex_return,6,0.018422782654239328
SVAR_shocks_to_fx_return,fx_return,vnindex_return,7,0.011869739281899239
SVAR_shocks_to_fx_return,fx_return,vnindex_return,8,0.006608058097483593
SVAR_shocks_to_fx_return,fx_return,vnindex_return,9,-0.00100278128682849
SVAR_shocks_to_fx_return,fx_return,vnindex_return,10,0.001501179225431755
SVAR_shocks_to_fx_return,fx_return,vnindex_return,11,-0.0005842026498317403
SVAR_shocks_to_fx_return,fx_return,vnindex_return,12,0.00022360455114719044
SVAR_shocks_to_fx_return,fx_return,fx_return,0,1.0
SVAR_shocks_to_fx_return,fx_return,fx_return,1,0.03618998233009777
SVAR_shocks_to_fx_return,fx_return,fx_return,2,0.03634953024031078
SVAR_shocks_to_fx_return,fx_return,fx_return,3,-0.058435068554714246
SVAR_shocks_to_fx_return,fx_return,fx_return,4,0.055511101075827574
SVAR_shocks_to_fx_return,fx_return,fx_return,5,-0.007903495640665522
SVAR_shocks_to_fx_return,fx_return,fx_return,6,0.005250113026692945
SVAR_shocks_to_fx_return,fx_return,fx_return,7,-0.007581722160313175
SVAR_shocks_to_fx_return,fx_return,fx_return,8,0.0043167477063362205
SVAR_shocks_to_fx_return,fx_return,fx_return,9,-0.0027344847340741787
SVAR_shocks_to_fx_return,fx_return,fx_return,10,0.001790314819431094
